Outcome,Subject,CompositeNLL,CongruencyOnlyNLL,DeltaNLL,CompositeBIC,CongruencyOnlyBIC,DeltaBIC,CompositeAlpha,CongruencyOnlyAlpha,DeltaAlpha
RT,VP0107,20.8521445222766,24.0250244625144,3.17287994023781,121.460975222726,127.806735103202,6.34575988047561,0.281310203021914,0.0325141262709514,-0.248796076750962
RT,VP0108,205.191116039772,207.168633545151,1.97751750537901,489.299866908123,493.254901918881,3.95503501075802,0.386979758797555,0.076755960338762,-0.310223798458793
RT,VP0109,301.675393552014,300.313208852899,-1.36218469911529,681.980881748443,679.256512350213,-2.72436939823058,0.0848365085643151,0.284675289646712,0.199838781082397
RT,VP0110,5.96918249728719,6.59613346335249,0.626950966065294,93.3654167346695,94.6193186668001,1.25390193213059,0.172468978679339,0.107844814754837,-0.0646241639245018
RT,VP0111,-298.728906180644,-298.623221428473,0.105684752170816,-514.843972536774,-514.632603032432,0.211369504341633,0.228990347866618,0.231293946468838,0.00230359860221924
RT,VP0112,28.6803340422238,42.8374374186083,14.1571033763845,138.582586624231,166.896793377,28.314206752769,0.00164462525732482,0.108540302607418,0.106895677350093
RT,VP0113,269.769729012026,267.667752608283,-2.10197640374292,616.945103089783,612.741150282297,-4.20395280748585,0.101560341909835,0.0659417843927656,-0.0356185575170696
RT,VP0114,-61.0410414018588,-71.1835496418917,-10.142508240033,-40.1765623686538,-60.4615788487198,-20.2850164800659,0.112465481790897,0.00373067641004122,-0.108734805380855
RT,VP0115,-95.5498859642209,-94.8957105722438,0.654175391977105,-110.824580698294,-109.51622991434,1.30835078395421,0.0764161926574641,0.0682113632297163,-0.00820482942774772
RT,VP0116,79.2311087217024,84.1629024416495,4.93179371994717,238.465698952555,248.32928639245,9.86358743989433,0.00373067641004122,0.123273462574761,0.11954278616472
RT,VP0117,-11.3192780020531,-10.2794439185027,1.03983408355032,57.4864455308595,59.5661136979601,2.07966816710064,0.323953167446298,0.224318214569079,-0.0996349528772188
RT,VP0118,61.2079626575014,65.0207346732836,3.81277201578229,202.883594453323,210.509138484887,7.62554403156457,0.0204197704079705,0.206725962938953,0.186306192530983
RT,VP0119,88.3409152604343,85.0876997807429,-3.25321547969133,255.666132187582,249.1597012282,-6.50643095938267,0.118335266754183,0.0700867960766142,-0.0482484706775692
RT,VP0120,-425.494554876092,-438.24884620309,-12.7542913269974,-769.096625711668,-794.605208365663,-25.5085826539948,0.00164462525732482,0.00672321986379126,0.00507859460646645
RT,VP0121,20.2794107055711,20.1365636985979,-0.142847006973284,120.592798489437,120.30710447549,-0.285694013946568,0.0849583678715487,0.102828237013064,0.0178698691415149
RT,VP0122,175.866951557568,180.241688465701,4.37473690813275,431.12668533673,439.876159152996,8.74947381626549,0.0997806588538357,0.0710724697026913,-0.0287081891511444
RT,VP0123,97.4212802646643,94.2298548039761,-3.19142546068824,273.14291642345,266.760065502074,-6.38285092137647,0.0972560670862824,0.00486183224009779,-0.0923942348461846
RT,VP0124,-74.9474478296547,-78.9109820753981,-3.96353424574346,-68.2395214185578,-76.1665899100448,-7.92706849148692,0.153516013930622,0.224648427982271,0.0711324140516492
RT,VP0125,-185.792436695354,-186.259224370728,-0.46678767537378,-290.585699065245,-291.519274415993,-0.93357535074756,0.155680431127612,0.216358754471298,0.0606783233436856
RT,VP0126,6.5044483929762,5.90560548897815,-0.598842903998047,89.8119861296583,88.6143003216622,-1.19768580799609,0.150235125995829,0.136159383326193,-0.014075742669636
RT,VP0127,-172.186197814157,-170.372301797767,1.81389601638938,-262.584715747422,-258.956923714643,3.62779203277876,0.0206659624686158,0.226969497818527,0.206303535349911
RT,VP0128,-253.805890096898,-254.672347327751,-0.866457230853314,-425.32161144325,-427.054525904957,-1.73291446170663,0.19443530965157,0.141445960589996,-0.0529893490615744
RT,VP0129,79.1697146422131,79.5375200061715,0.367805363958354,236.173358751755,236.908969479672,0.735610727916708,0.154248968846704,0.210213634338208,0.0559646654915045
RT,VP0130,-145.773454527933,-143.188509184346,2.58494534358698,-209.156216157265,-203.986325470091,5.16989068717396,0.174138392426662,0.167289358582945,-0.00684903384371671
RT,VP0131,61.2809876003656,60.0774277985212,-1.20355980184439,198.897604931607,196.490485327918,-2.40711960368878,0.126619833831844,0.100094486793245,-0.0265253470385987
RT,VP0132,-222.057308243611,-224.21874950339,-2.16144125977979,-361.849710903902,-366.172593423461,-4.32288251955958,0.395990829426248,0.457604960629281,0.0616141312030327
RT,VP0133,-477.009550148552,-478.067357998645,-1.05780785009307,-871.855782622079,-873.971398322265,-2.11561570018614,0.322450893687993,0.239714419364347,-0.0827364743236455
RT,VP0134,115.696139297209,112.293308192632,-3.40283110457699,311.682385923441,304.876723714287,-6.80566220915398,0.144761180667548,0.0642543008409133,-0.0805068798266346
RT,VP0135,-79.6161072825845,-77.877717221346,1.73839006123853,-77.6569296094698,-74.1801494869928,3.47678012247707,0.182795109052444,0.182884682506669,8.95734542251392e-05
RT,VP0136,39.3317409933068,42.4928030451554,3.16106205184855,157.121159871826,163.443283975523,6.32212410369709,0.00833896912750096,0.0279476786773603,0.0196087095498593
