Outcome,Subject,Parameter,Symmetric,Directional,DirectionalMinusSymmetric
RT,VP0187,alpha,0.924682530414155,0.919213839432638,-0.0054686909815177
RT,VP0188,alpha,0.871261414541506,0.827885803089593,-0.0433756114519137
RT,VP0189,alpha,0.69666243776189,0.827619894607804,0.130957456845914
RT,VP0190,alpha,0.787016523558766,0.903388336130756,0.116371812571991
RT,VP0191,alpha,0.823622842422477,0.917704621891675,0.0940817794691983
RT,VP0192,alpha,0.878495340244465,0.751208873261323,-0.127286466983143
RT,VP0193,alpha,0.830381421059489,0.807053711728873,-0.0233277093306162
RT,VP0194,alpha,0.882283549328228,0.866176465501494,-0.0161070838267346
RT,VP0195,alpha,0.771029402948649,0.787496411649247,0.0164670087005977
RT,VP0196,alpha,0.566169544780065,0.821404534119681,0.255234989339616
RT,VP0197,alpha,0.00164462525732482,0.923540267458758,0.921895642201433
RT,VP0198,alpha,0.0588724223539755,0.86872272865566,0.809850306301685
RT,VP0199,alpha,0.592006302229599,0.572010646030866,-0.0199956561987329
RT,VP0200,alpha,0.908757182766319,0.958938691437084,0.0501815086707651
RT,VP0201,alpha,0.928959057846563,0.943357659117687,0.0143986012711237
RT,VP0202,alpha,0.528264450235456,0.461196482778023,-0.0670679674574322
RT,VP0203,alpha,0.385377108171815,0.806573988637955,0.421196880466139
RT,VP0204,alpha,0.443975278745866,0.953561919690162,0.509586640944296
RT,VP0205,alpha,0.762136743560078,0.961706792490312,0.199570048930234
RT,VP0206,alpha,0.524135357956943,0.935160485198837,0.411025127241894
RT,VP0207,alpha,0.894759485765488,0.937007072431754,0.0422475866662655
RT,VP0208,alpha,0.189815015975691,0.934566859871779,0.744751843896089
RT,VP0209,alpha,0.887174067287029,0.947053452424432,0.0598793851374031
RT,VP0210,alpha,0.946415436505771,0.957015447758134,0.0106000112523638
RT,VP0211,alpha,0.871008562004951,0.781441217239173,-0.0895673447657787
RT,VP0212,alpha,0.981653045182321,0.970264823941538,-0.0113882212407836
RT,VP0213,alpha,0.241855209238201,0.631056980919446,0.389201771681245
RT,VP0214,alpha,0.446141004094875,0.609449974577407,0.163308970482532
RT,VP0215,alpha,0.617546826953811,0.733407634371824,0.115860807418013
RT,VP0216,alpha,0.322941397744945,0.873278828939418,0.550337431194474
RT,VP0217,alpha,0.427164654860787,0.892288491764663,0.465123836903876
RT,VP0218,alpha,0.611317644387265,0.692179314216555,0.0808616698292909
RT,VP0219,alpha,0.824983058629554,0.636938785196717,-0.188044273432838
RT,VP0220,alpha,0.571690807814937,0.759257589968242,0.187566782153305
RT,VP0221,alpha,0.964097314846194,0.982990264723168,0.0188929498769741
RT,VP0222,alpha,0.6331208026501,0.487726518302148,-0.145394284347952
RT,VP0223,alpha,0.00164462525732482,0.966435001240129,0.964790375982805
RT,VP0224,alpha,0.811118491445467,0.94948523048621,0.138366739040743
RT,VP0225,alpha,0.896292661780882,0.941880970423443,0.0455883086425618
RT,VP0226,alpha,0.505041490470467,0.745244376096893,0.240202885626425
RT,VP0227,alpha,0.867847109964754,0.964158185155467,0.096311075190713
RT,VP0228,alpha,0.962983677782798,0.992602260181598,0.0296185823988004
RT,VP0229,alpha,0.861439299358341,0.891563495545272,0.0301241961869306
RT,VP0230,alpha,0.819019257001664,0.858633762960914,0.0396145059592503
RT,VP0231,alpha,0.961879203893425,0.990073175568802,0.0281939716753771
RT,VP0232,alpha,0.96054022340947,0.949535661670415,-0.0110045617390546
RT,VP0233,alpha,0.905495179777592,0.82812874882191,-0.0773664309556817
RT,VP0234,alpha,0.734382661959271,0.975295922356179,0.240913260396907
RT,VP0235,alpha,0.15502316545682,0.13521118645207,-0.0198119790047493
RT,VP0236,alpha,0.805357810814117,0.858099165107859,0.0527413542937425
RT,VP0237,alpha,0.704046643186346,0.630611826159525,-0.0734348170268209
RT,VP0238,alpha,0.00164462525732482,0.956685010146779,0.955040384889454
RT,VP0239,alpha,0.798170976668115,0.834235163121952,0.0360641864538369
