Outcome,Subject,NegLogLike_Symmetric,NegLogLike_Directional,DeltaNegLogLike_DirectionalMinusSymmetric,BIC_Symmetric,BIC_Directional,DeltaBIC_DirectionalMinusSymmetric,DirectionalPreferredByBIC
RT,VP0031,-222.752123388125,-223.200358396387,-0.448235008261804,-364.337627873502,-365.234097890025,-0.896470016523608,1
RT,VP0032,-465.85458649888,-468.877914670124,-3.02332817124363,-848.864205906745,-854.910862249232,-6.04665634248727,1
RT,VP0033,-194.270294722818,-193.267768046712,1.0025266761059,-306.351794054035,-304.346740701823,2.0050533522118,0
RT,VP0034,-116.072702217076,-111.259246256541,4.81345596053495,-150.503341342852,-140.876429421782,9.6269119210699,0
RT,VP0035,233.300700124845,233.160295257112,-0.140404867733707,547.487632564965,547.206822829498,-0.280809735467415,1
RT,VP0036,-629.762975955831,-631.574518721642,-1.81154276581151,-1176.76561993219,-1180.38870546381,-3.62308553162302,1
RT,VP0037,-127.987641634142,-127.162463763841,0.825177870300593,-174.253573866902,-172.603218126301,1.65035574060119,0
RT,VP0038,106.506457002902,111.128652200469,4.62219519756695,290.865122227619,300.109512622753,9.24439039513391,0
RT,VP0039,-300.554488138604,-298.893700282506,1.66078785609869,-519.022417925745,-515.700842213547,3.3215757121975,0
RT,VP0040,-319.467803102393,-321.272532437024,-1.80472933463096,-556.595070119017,-560.204528788279,-3.60945866926193,1
RT,VP0041,27.6956072594446,21.9186486089458,-5.77695865049884,134.783996740483,123.230079439485,-11.5539173009977,1
RT,VP0042,-257.463086781883,-260.794511543305,-3.33142476142166,-432.891062236441,-439.553911759284,-6.66284952284332,1
RT,VP0043,-101.977284391986,-104.656994102995,-2.67970971100885,-121.880851525227,-127.240270947245,-5.35941942201771,1
RT,VP0044,-391.258960602997,-394.353065201037,-3.09410459803985,-700.586370391959,-706.774579588039,-6.1882091960797,1
RT,VP0045,-279.531412182962,-278.598307098249,0.933105084713475,-477.474154021219,-475.607943851792,1.86621016942695,0
